# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  6.309943e-02    9.122261e+01   2.548414e+00
  6.364133e-02    9.011906e+01   2.501218e+00
  6.418323e-02    8.885967e+01   2.356324e+00
  6.472513e-02    8.816128e+01   2.204869e+00
  6.526704e-02    8.709592e+01   2.175974e+00
  6.580894e-02    8.581097e+01   2.050918e+00
  6.635084e-02    8.505475e+01   2.020812e+00
  6.689274e-02    8.432856e+01   2.040475e+00
  6.743464e-02    8.419151e+01   2.035716e+00
  6.797655e-02    8.353381e+01   2.080921e+00
  6.851845e-02    8.262691e+01   2.011993e+00
  6.906035e-02    8.182154e+01   2.035721e+00
  6.960225e-02    8.102183e+01   2.008240e+00
  7.014415e-02    7.974599e+01   1.980078e+00
  7.068605e-02    7.869372e+01   1.919897e+00
  7.122796e-02    7.758839e+01   1.882427e+00
  7.176986e-02    7.621955e+01   1.915811e+00
  7.231176e-02    7.509027e+01   1.981990e+00
  7.285366e-02    7.416343e+01   1.943761e+00
  7.339556e-02    7.374868e+01   1.970230e+00
  7.393747e-02    7.307577e+01   1.961845e+00
  7.447937e-02    7.272639e+01   1.922105e+00
  7.502127e-02    7.268930e+01   1.914718e+00
  7.556317e-02    7.223347e+01   1.919697e+00
  7.610507e-02    7.237978e+01   1.874599e+00
  7.664697e-02    7.163075e+01   1.847008e+00
  7.718888e-02    7.090498e+01   1.789593e+00
  7.773078e-02    6.988036e+01   1.834681e+00
  7.827268e-02    6.907509e+01   1.812549e+00
  7.881458e-02    6.834142e+01   1.719902e+00
  7.935648e-02    6.741707e+01   1.682332e+00
  7.989839e-02    6.699666e+01   1.637530e+00
  8.044029e-02    6.686272e+01   1.664611e+00
  8.098219e-02    6.676698e+01   1.754638e+00
  8.152409e-02    6.677452e+01   1.807169e+00
  8.206599e-02    6.677734e+01   1.781703e+00
